Molecule,Target,Value,Unit,Parameter,ScaID
GAVQYOLIJNDBBO-UHFFFAOYSA-N,SHH,1.6,nM,IC50,Sca2050
LKRZBVIVDZNQRA-UHFFFAOYSA-N,SHH,2.8,nM,IC50,Sca2050
QRRSSZMGQATLCF-UHFFFAOYSA-N,SHH,1.0,nM,IC50,Sca2050
GCLOLVKYSGLEKJ-UHFFFAOYSA-N,SHH,2.2,nM,IC50,Sca2050
QPLWUROXKVKJFO-UHFFFAOYSA-N,TSPO,1.38,nM,Ki,Sca6944
QPLWUROXKVKJFO-UHFFFAOYSA-N,TSPO,2.38,nM,IC50,Sca6944
FGDKXQIJZSPQHK-UHFFFAOYSA-N,TSPO,3.1,nM,Ki,Sca771
HGYZAKWTGAZJRR-UHFFFAOYSA-N,TSPO,5081.59,nM,IC50,Sca6944
HGYZAKWTGAZJRR-UHFFFAOYSA-N,TSPO,899.5,nM,IC50,Sca6944
HGYZAKWTGAZJRR-UHFFFAOYSA-N,TSPO,3685.19,nM,Ki,Sca6944
HGYZAKWTGAZJRR-UHFFFAOYSA-N,TSPO,529.98,nM,Ki,Sca6944
GTBVMXOOPUKQEU-UHFFFAOYSA-N,TSPO,0.36,nM,Ki,Sca69453
PMPNIILSTAUJJS-UHFFFAOYSA-N,TSPO,0.86,nM,Ki,Sca47723
UFZKUMVHQKVATP-UHFFFAOYSA-N,TSPO,0.39,nM,Ki,Sca69453
GCHVEEZKDIOEEW-UHFFFAOYSA-N,TSPO,157.04,nM,IC50,Sca6944
GCHVEEZKDIOEEW-UHFFFAOYSA-N,TSPO,95.91,nM,Ki,Sca6944
GCHVEEZKDIOEEW-UHFFFAOYSA-N,TSPO,1033.93,nM,Ki,Sca6944
GCHVEEZKDIOEEW-UHFFFAOYSA-N,TSPO,1455.46,nM,IC50,Sca6944
BPGOUCVJJZHKQE-UHFFFAOYSA-N,TSPO,4.0,nM,Ki,Sca771
NVQSVEQNCOWDBV-UHFFFAOYSA-N,TSPO,0.68,nM,Ki,Sca69453
NVQSVEQNCOWDBV-UHFFFAOYSA-N,TSPO,5.24,nM,Ki,Sca69453
NVQSVEQNCOWDBV-UHFFFAOYSA-N,TSPO,0.22,nM,Ki,Sca69453
NVQSVEQNCOWDBV-UHFFFAOYSA-N,TSPO,0.67,nM,Ki,Sca69453
KCGKLVWNHJKVNK-UHFFFAOYSA-N,TSPO,0.67,nM,Ki,Sca47723
QXIHVESBDSAWSK-UHFFFAOYSA-N,TSPO,757.47,nM,Ki,Sca6944
QXIHVESBDSAWSK-UHFFFAOYSA-N,TSPO,128824955.17,nM,IC50,Sca6944
QXIHVESBDSAWSK-UHFFFAOYSA-N,TSPO,1238.8,nM,IC50,Sca6944
QXIHVESBDSAWSK-UHFFFAOYSA-N,TSPO,6646.97,nM,Ki,Sca6944
FGJLXSQONBXXOQ-UHFFFAOYSA-N,TSPO,3.5,nM,Ki,Sca6944
FGJLXSQONBXXOQ-UHFFFAOYSA-N,TSPO,4.6,nM,IC50,Sca6944
FGJLXSQONBXXOQ-UHFFFAOYSA-N,TSPO,11.51,nM,IC50,Sca6944
FGJLXSQONBXXOQ-UHFFFAOYSA-N,TSPO,6.78,nM,Ki,Sca6944
QJCLUBBQLHBLOP-UHFFFAOYSA-N,TSPO,0.23,nM,Ki,Sca6944
UFIIMXHKOVDWOD-UHFFFAOYSA-N,TSPO,0.39,nM,Ki,Sca69453
JBNWMDKNZKFUEB-UHFFFAOYSA-N,TSPO,3.8,nM,Ki,Sca771
QJQTZNPNVAWAGZ-UHFFFAOYSA-N,TSPO,1.07,nM,Ki,Sca69453
JRZIGYIBOCKYJT-UHFFFAOYSA-N,TSPO,98.77,nM,Ki,Sca6944
JRZIGYIBOCKYJT-UHFFFAOYSA-N,TSPO,169.04,nM,IC50,Sca6944
QOWZZQODNBDIID-UHFFFAOYSA-N,TSPO,0.23,nM,Ki,Sca69453
GWDKUYCSDMPODZ-UHFFFAOYSA-N,TSPO,125.65,nM,Ki,Sca6944
GWDKUYCSDMPODZ-UHFFFAOYSA-N,TSPO,843.33,nM,IC50,Sca6944
GWDKUYCSDMPODZ-UHFFFAOYSA-N,TSPO,607.74,nM,Ki,Sca6944
GWDKUYCSDMPODZ-UHFFFAOYSA-N,TSPO,214.78,nM,IC50,Sca6944
QCAXCPOAIPIDKP-UHFFFAOYSA-N,TSPO,0.47,nM,Ki,Sca47723
IBRITHGUQFANGS-UHFFFAOYSA-N,TSPO,8.23,nM,Ki,Sca771
RRWKQWNTMGJLLA-UHFFFAOYSA-N,TSPO,302.0,nM,IC50,Sca6944
RRWKQWNTMGJLLA-UHFFFAOYSA-N,TSPO,19.64,nM,Ki,Sca6944
RRWKQWNTMGJLLA-UHFFFAOYSA-N,TSPO,207.47,nM,Ki,Sca6944
RRWKQWNTMGJLLA-UHFFFAOYSA-N,TSPO,35.16,nM,IC50,Sca6944
WIQPVOISBZBCNN-UHFFFAOYSA-N,TSPO,455.0,nM,Ki,Sca565
HTRJPNZKQJNIGN-UHFFFAOYSA-N,TSPO,0.13,nM,Ki,Sca47723
RFJZJDYWSLNICW-UHFFFAOYSA-N,TSPO,1.9,nM,Ki,Sca771
HVRAZCWNURIUQB-UHFFFAOYSA-N,TSPO,1.6,nM,Ki,Sca47723
QMMGEIMAWWFSFZ-UHFFFAOYSA-N,TSPO,1.5,nM,Ki,Sca771
IFKFLMNAIVKEHR-UHFFFAOYSA-N,TSPO,0.99,nM,Ki,Sca47723
OYYWZOCFFUKRPC-UHFFFAOYSA-N,TSPO,135.0,nM,Ki,Sca771
ZVDVQPLDTTXLKI-LSKWOKDISA-N,TSPO,0.87,nM,Ki,Sca771
IAXWXPQCYMVMDH-UHFFFAOYSA-N,TSPO,1.35,nM,Ki,Sca69453
FQRMHEHVTLSROY-UHFFFAOYSA-N,TSPO,18.7,nM,IC50,Sca6944
ADKKDJXZPFFDMD-UHFFFAOYSA-N,TSPO,154.0,nM,Ki,Sca71538
FBAAYEDZAUPUGL-UHFFFAOYSA-N,TSPO,0.55,nM,Ki,Sca69453
QEJHOFPSTGEQRL-UHFFFAOYSA-N,TSPO,0.49,nM,Ki,Sca4237
PCAVTEZGSYPHGB-UHFFFAOYSA-N,TSPO,0.7,nM,Ki,Sca771
IJRQUBJZWGLISZ-UHFFFAOYSA-N,TSPO,19.0,nM,Ki,Sca69453
NIDPCGXDRRILBS-UHFFFAOYSA-N,TSPO,0.52,nM,Ki,Sca69453
RFVUCJJSCWRYIR-UHFFFAOYSA-N,TSPO,287.0,nM,IC50,Sca6944
AMAZBTQKHYNHBZ-UHFFFAOYSA-N,TSPO,771.43,nM,Ki,Sca6944
AMAZBTQKHYNHBZ-UHFFFAOYSA-N,TSPO,1306.17,nM,IC50,Sca6944
AMAZBTQKHYNHBZ-UHFFFAOYSA-N,TSPO,941.54,nM,Ki,Sca6944
AMAZBTQKHYNHBZ-UHFFFAOYSA-N,TSPO,1324.34,nM,IC50,Sca6944
FMJMFAYUNUEUSC-UHFFFAOYSA-N,TSPO,0.4,nM,Ki,Sca69453
QPYIMMXNDOXRLS-UHFFFAOYSA-N,TSPO,0.32,nM,Ki,Sca69453
JEEMPXDTVZNAKY-UHFFFAOYSA-N,TSPO,929.0,nM,Ki,Sca565
UZKHZSTUQXRUJW-UHFFFAOYSA-N,TSPO,0.37,nM,Ki,Sca69453
UZKHZSTUQXRUJW-UHFFFAOYSA-N,TSPO,0.29,nM,Ki,Sca69453
UZKHZSTUQXRUJW-UHFFFAOYSA-N,TSPO,1.17,nM,Ki,Sca69453
IJOAKTDOROJPJV-UHFFFAOYSA-N,TSPO,3.0,nM,Ki,Sca47723
XTARLFSAXRGTDF-UHFFFAOYSA-N,TSPO,0.8,nM,Ki,Sca71538
ZVDVQPLDTTXLKI-VWBUEPEUSA-N,TSPO,3.87,nM,Ki,Sca771
GJOXPERCMDUMRY-UHFFFAOYSA-N,TSPO,6.65,nM,Ki,Sca15427
LPTQQHWFDGRYJV-UHFFFAOYSA-N,TSPO,16.8,nM,Ki,Sca69453
LPTQQHWFDGRYJV-UHFFFAOYSA-N,TSPO,13.1,nM,Ki,Sca69453
LPTQQHWFDGRYJV-UHFFFAOYSA-N,TSPO,30.2,nM,Ki,Sca69453
RPTPJEUHLRSHME-UHFFFAOYSA-N,TSPO,0.34,nM,Ki,Sca69453
COHJPHMQYOPHPC-UHFFFAOYSA-N,TSPO,229.09,nM,IC50,Sca6944
COHJPHMQYOPHPC-UHFFFAOYSA-N,TSPO,139.89,nM,Ki,Sca6944
COHJPHMQYOPHPC-UHFFFAOYSA-N,TSPO,1054.39,nM,IC50,Sca6944
COHJPHMQYOPHPC-UHFFFAOYSA-N,TSPO,748.97,nM,Ki,Sca6944
