"Target","Molecule"
"CP1A2","JSWZEAMFRNKZNL-UHFFFAOYSA-N"
"CP3A4","LDZNFFGWKHAEMM-GDBMZVCRSA-N"
"CP3A4","OCGIYHGXHMLCPX-UKRRQHHQSA-N"
"CP2D6","LDZNFFGWKHAEMM-GDBMZVCRSA-N"
"CP2D6","OCGIYHGXHMLCPX-UKRRQHHQSA-N"
"CP2C9","LDZNFFGWKHAEMM-GDBMZVCRSA-N"
"CP2C9","OCGIYHGXHMLCPX-UKRRQHHQSA-N"
"CP1A2","WNTMDVWCVCRJBT-UHFFFAOYSA-N"
"CP19A","GIMAXNWIBCVIQO-UHFFFAOYSA-N"
"CP3A4","QJJXYPPXXYFBGM-LFZNUXCKSA-N"
"CP3A5","QJJXYPPXXYFBGM-LFZNUXCKSA-N"
"CP2B6","BCEHBSKCWLPMDN-MGPLVRAMSA-N"
"CP19A","ZKGILAGEAKMIIG-UHFFFAOYSA-N"
"CP19A","SMRMFVJXCAYQJF-UHFFFAOYSA-N"
"CP2C9","MXDWNZUMSIYAFL-UHFFFAOYSA-N"
"CP2D6","LOUPRKONTZGTKE-VOMFEXJBSA-N"
"CP2DQ","LOUPRKONTZGTKE-VOMFEXJBSA-N"
"CP2D6","GRTOGORTSDXSFK-XJTZBENFSA-N"
"CP19A","FZLIDDHIWVEFTK-UHFFFAOYSA-N"
"CP3A4","DYYJWDSYFDXNOW-FLOLVYIHSA-N"
"CP2D6","DYYJWDSYFDXNOW-FLOLVYIHSA-N"
"CP2C9","DYYJWDSYFDXNOW-FLOLVYIHSA-N"
"CP2D6","XPNMCDYOYIKVGB-CONSDPRKSA-N"
"CP3A4","QAGYKUNXZHXKMR-HKWSIXNMSA-N"
"CP3A5","QAGYKUNXZHXKMR-HKWSIXNMSA-N"
"THAS","QRJJEGAJXVEBNE-HKOYGPOVSA-N"
"CP3A4","YMARZQAQMVYCKC-OEMFJLHTSA-N"
"CP3A5","YMARZQAQMVYCKC-OEMFJLHTSA-N"
"CP2E1","CWPOROUIZKNJHY-UHFFFAOYSA-N"
"CP2A6","CWPOROUIZKNJHY-UHFFFAOYSA-N"
"CP1A1","PHJHYXAJAMTIKE-UHFFFAOYSA-N"
"CP1A1","JLXMVSQXHQXVQK-UHFFFAOYSA-N"
"CP1B1","PHJHYXAJAMTIKE-UHFFFAOYSA-N"
"CP1B1","JLXMVSQXHQXVQK-UHFFFAOYSA-N"
"CP1A2","PHJHYXAJAMTIKE-UHFFFAOYSA-N"
