"","Target","Molecule","Scaffold"
"154","PDCD4","HDZZVAMISRMYHH-KCGFPETGSA-N","Sca5458"
"155","PDCD4","HDZZVAMISRMYHH-KCGFPETGSA-N","Sca2222"
"156","STAT3","FAJWFKWBHUJFGG-YIWHDNQYSA-N","Sca6022"
"157","STAT3","XPYZEKFFOCHGLU-UHFFFAOYSA-N","Sca5582"
"158","STAT3","RHAHUACACWLHCL-UHFFFAOYSA-N","Sca5582"
"159","STAT3","WPKWXHIWEVDVDI-JJSOOWBRSA-N","Sca254"
"160","STAT3","OTFYTTXOONHBQZ-ZJWIYONQSA-N","Sca6022"
"161","STAT6","ZEGBODHEWPGPOP-UHFFFAOYSA-N","Sca92074"
"162","SHH","XUEUXHGLEZXEKK-UHFFFAOYSA-N","Sca2050"
"163","SHH","FMLHKAPHBJGWDQ-UHFFFAOYSA-N","Sca2050"
"164","SHH","PCBUAQSVQWQAPU-UHFFFAOYSA-N","Sca2050"
"165","SHH","CEJDBSAMQOQPMD-UHFFFAOYSA-N","Sca2050"
"166","SHH","OFYSCZLGXWEMMT-UHFFFAOYSA-N","Sca18118"
"167","SHH","XTCGGRNUDKFRID-UHFFFAOYSA-N","Sca2050"
"168","SHH","PPCHGKPZIRTPDN-UHFFFAOYSA-N","Sca615"
"169","SHH","YAAWKGXZQKNINY-UHFFFAOYSA-N","Sca2050"
"170","SHH","XYIYXHLPGJGHQW-UHFFFAOYSA-N","Sca2050"
"171","SHH","DYMWFFRVGYCZCP-UHFFFAOYSA-N","Sca2050"
"172","SHH","HEMYZNPKDXXSKY-UHFFFAOYSA-N","Sca12375"
"173","SHH","GDVALGPARCXXIX-UHFFFAOYSA-N","Sca2050"
"174","SHH","MRSUEPXGFFTGJH-UHFFFAOYSA-N","Sca2050"
"175","SHH","KSYOMFKYSRLDGS-UHFFFAOYSA-N","Sca2050"
"176","SHH","XIVGLIFGANYWTO-UHFFFAOYSA-N","Sca2050"
